Class,Wavelength (nm),Mean Reflectance,Std Reflectance
seborrheic_keratosis,510.0,0.5207196,0.12099082
seborrheic_keratosis,520.0,0.5411707,0.13646613
seborrheic_keratosis,530.0,0.6007124,0.14307018
seborrheic_keratosis,540.0,0.6342022,0.15732946
seborrheic_keratosis,550.0,0.65533257,0.15305033
seborrheic_keratosis,560.0,0.6624641,0.15404575
seborrheic_keratosis,570.0,0.709224,0.16988342
seborrheic_keratosis,580.0,0.7354025,0.1897318
seborrheic_keratosis,590.0,0.80812585,0.16890967
seborrheic_keratosis,600.0,0.8387048,0.17334601
seborrheic_keratosis,610.0,0.893401,0.17923073
seborrheic_keratosis,620.0,0.9389044,0.17810039
seborrheic_keratosis,630.0,0.8809474,0.16105857
seborrheic_keratosis,640.0,0.8272214,0.15292251
seborrheic_keratosis,650.0,0.82119066,0.16184072
seborrheic_keratosis,660.0,0.8145108,0.17510986
seborrheic_keratosis,670.0,0.81276274,0.14710987
seborrheic_keratosis,680.0,0.82899255,0.15705676
seborrheic_keratosis,690.0,0.81361353,0.17334269
seborrheic_keratosis,700.0,0.7845465,0.19115226
vascular_lesion,400.0,0.41663647,0.09035012
vascular_lesion,410.0,0.44947055,0.08404962
vascular_lesion,420.0,0.43241,0.08367216
vascular_lesion,430.0,0.40516445,0.07664955
vascular_lesion,440.0,0.36850435,0.07194448
vascular_lesion,450.0,0.34674722,0.068462886
vascular_lesion,460.0,0.3487952,0.06724625
vascular_lesion,470.0,0.35546115,0.066354856
vascular_lesion,480.0,0.3754391,0.052744113
vascular_lesion,490.0,0.4116508,0.06174599
vascular_lesion,500.0,0.4252621,0.07711442
vascular_lesion,510.0,0.47747815,0.08191744
vascular_lesion,520.0,0.50090295,0.09727594
vascular_lesion,530.0,0.54871815,0.107026175
vascular_lesion,540.0,0.5717248,0.11661216
vascular_lesion,550.0,0.58303,0.1163073
vascular_lesion,560.0,0.599028,0.1192158
vascular_lesion,570.0,0.6082722,0.12946774
vascular_lesion,580.0,0.6013058,0.1375466
vascular_lesion,590.0,0.7050127,0.115166605
vascular_lesion,600.0,0.7542524,0.108597994
vascular_lesion,610.0,0.7926992,0.10618487
vascular_lesion,620.0,0.82960135,0.10297223
vascular_lesion,630.0,0.7971624,0.09425761
vascular_lesion,640.0,0.75501084,0.0929229
vascular_lesion,650.0,0.7295673,0.08969374
vascular_lesion,660.0,0.71946496,0.09167419
vascular_lesion,670.0,0.74317473,0.08247569
vascular_lesion,680.0,0.764247,0.08335711
vascular_lesion,690.0,0.76128,0.09359884
vascular_lesion,700.0,0.7608532,0.11307617
